HOSPITAL_ID,HOSPITAL_NAME,HOSPITAL_TYPE,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,AVG_VENTILATOR_USAGE,Potential_Increase_In_Bed_Capac
1,Phoenix VA Health Care System (AKA Carl T Hayden VA Medical Center),VA Hospital,Maricopa,Arizona,4,13,4013,129,129,0,0,0,0,0,0
2,Southern Arizona VA Health Care System,VA Hospital,Pima,Arizona,4,19,4019,295,295,2,2,0,0,2,0
3,VA Central California Health Care System,VA Hospital,Fresno,California,6,19,6019,57,57,2,2,0,0,2,0
4,VA Connecticut Healthcare System - West Haven Campus (AKA West Haven VA Medical Center),VA Hospital,New Haven,Connecticut,9,9,9009,216,216,1,1,0,0,2,0
5,Wilmington VA Medical Center,VA Hospital,New Castle,Delaware,10,3,10003,60,60,0,0,0,0,1,0
6,Washington DC VA Medical Center,VA Hospital,District of Columbia,District of Columbia,11,1,11001,164,164,1,1,0,0,2,0
7,North Florida/South Georgia Veterans Health System - Malcom Randall VA Medical Center,VA Hospital,Alachua,Florida,12,1,12001,432,289,2,2,0,0,2,143
8,Boise VA Medical Center,VA Hospital,Ada,Idaho,16,1,16001,46,46,1,1,0,0,1,0
9,Overton Brooks VA Medical Center,VA Hospital,Caddo,Louisiana,22,17,22017,111,111,1,1,0,0,2,0
10,Merit Health River Oaks (FKA River Oaks Hospital - Jackson),Short Term Acute Care Hospital,Rankin,Mississippi,28,121,28121,160,160,10,10,20,0.27986822,2,0
11,Harry S Truman Memorial Veterans Hospital,VA Hospital,Boone,Missouri,29,19,29019,126,126,2,2,0,0,2,0
12,New Mexico VA Health Care System - Raymond G Murphy VA Medical Center,VA Hospital,Bernalillo,New Mexico,35,1,35001,184,184,1,1,0,0,1,0
13,Albany Stratton VA Medical Center,VA Hospital,Albany,New York,36,1,36001,156,156,2,2,0,0,2,0
14,James J Peters VA Medical Center,VA Hospital,Bronx,New York,36,5,36005,311,311,2,2,0,0,2,0
15,Fargo VA Health Care System,VA Hospital,Cass,North Dakota,38,17,38017,37,37,1,1,0,0,1,0
16,Roseburg VA Health Care System,VA Hospital,Douglas,Oregon,41,19,41019,0,0,0,0,0,0,0,0
17,VA Pittsburgh Healthcare System - University Drive,VA Hospital,Allegheny,Pennsylvania,42,3,42003,146,146,2,2,0,0,2,0
18,Prattville Baptist Hospital,Short Term Acute Care Hospital,Autauga,Alabama,1,1,1001,85,55,6,6,0,0.5846498,2,30
19,Thomas Hospital,Short Term Acute Care Hospital,Baldwin,Alabama,1,3,1003,150,129,17,17,0,0.8743124,3,21
20,North Baldwin Infirmary,Short Term Acute Care Hospital,Baldwin,Alabama,1,3,1003,58,25,4,4,0,0.55038249,2,33
21,Medical Center Barbour,Short Term Acute Care Hospital,Barbour,Alabama,1,5,1005,74,30,5,5,0,0.37872148,2,44
22,Bibb Medical Center,Short Term Acute Care Hospital,Bibb,Alabama,1,7,1007,35,25,4,4,0,0.43090412,1,10
23,St Vincents Blount,Critical Access Hospital,Blount,Alabama,1,9,1009,25,25,6,6,0,0.45202187,2,0
24,Bullock County Hospital,Short Term Acute Care Hospital,Bullock,Alabama,1,11,1011,61,25,5,5,0,0.32164383,1,36
25,Regional Medical Center of Central Alabama (FKA LV Stabler Memorial Hospital),Short Term Acute Care Hospital,Butler,Alabama,1,13,1013,72,44,7,7,0,0.18711084,2,28
26,Stringfellow Memorial Hospital,Short Term Acute Care Hospital,Calhoun,Alabama,1,15,1015,125,125,6,6,0,0.25909042,2,0
27,Regional Medical Center Anniston (FKA Northeast Alabama Regional Medical Center - Anniston),Short Term Acute Care Hospital,Calhoun,Alabama,1,15,1015,323,272,18,18,0,0.51079774,11,51
28,East Alabama Medical Center - Lanier,Short Term Acute Care Hospital,Chambers,Alabama,1,17,1017,115,84,15,15,0,0.39872646,0,31
29,Cherokee Medical Center,Short Term Acute Care Hospital,Cherokee,Alabama,1,19,1019,60,45,8,8,0,0.20437159,1,15
30,Grove Hill Memorial Hospital,Short Term Acute Care Hospital,Clarke,Alabama,1,25,1025,50,21,4,4,0,0.21870933,1,29
31,Jackson Medical Center,Short Term Acute Care Hospital,Clarke,Alabama,1,25,1025,35,35,6,6,0,0.24438356,1,0
32,Clay County Hospital,Short Term Acute Care Hospital,Clay,Alabama,1,27,1027,45,46,4,4,0,0.28064325,2,-1
33,Medical Center Enterprise,Short Term Acute Care Hospital,Coffee,Alabama,1,31,1031,131,99,7,7,0,0.27961808,2,32
34,North Alabama Shoals Hospital (FKA Shoals Hospital),Short Term Acute Care Hospital,Colbert,Alabama,1,33,1033,198,122,10,10,0,0.17876019,2,76
35,Evergreen Medical Center,Short Term Acute Care Hospital,Conecuh,Alabama,1,35,1035,58,44,8,8,0,0.29943961,0,14
36,Andalusia Regional Hospital (AKA Andalusia Health),Short Term Acute Care Hospital,Covington,Alabama,1,39,1039,88,83,8,8,0,0.31137666,2,5
37,Mizell Memorial Hospital,Short Term Acute Care Hospital,Covington,Alabama,1,39,1039,99,45,5,5,0,0.30630136,2,54
38,Crenshaw Community Hospital,Short Term Acute Care Hospital,Crenshaw,Alabama,1,41,1041,65,29,5,5,0,0.13989028,2,36
39,Cullman Regional Medical Center,Short Term Acute Care Hospital,Cullman,Alabama,1,43,1043,145,133,12,12,0,0.5414561,5,12
40,Dale Medical Center,Short Term Acute Care Hospital,Dale,Alabama,1,45,1045,89,77,6,6,0,0.26493508,2,12
