date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,death,hospitalized,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
2021-03-07,56,28755524,74579770,11808,40212,878613,8137,45475,2801,4281,515142,878613,363789451,839,726,130414,41265,1156241
2021-03-06,56,28714259,74449356,11783,41401,877887,8409,45453,2811,4280,514303,877887,362633210,1674,503,142201,59620,1409138
2021-03-05,56,28654639,74307155,12213,42541,877384,8634,45373,2889,4275,512629,877384,361224072,2221,2781,271917,68787,1744417
2021-03-04,56,28585852,74035238,12405,44172,874603,8970,45293,2973,4267,510408,874603,359479655,1743,1530,177957,65487,1590984
2021-03-03,56,28520365,73857281,11778,45462,873073,9359,45214,3094,4260,508665,873073,357888671,2449,2172,267001,66836,1406795
2021-03-02,56,28453529,73590280,11196,46388,870901,9465,45084,3169,4257,506216,870901,356481876,1728,1871,255779,54248,1343519
2021-03-01,56,28399281,73334501,11748,46738,869030,9595,44956,3171,4252,504488,869030,355138357,1241,1024,118077,48092,1154440
2021-02-28,56,28351189,73216424,11708,47352,868006,9802,44907,3245,4252,503247,868006,353983917,1051,879,203599,54349,1408422
2021-02-27,56,28296840,73012825,11731,48871,867127,10114,44875,3335,4252,502196,867127,352575495,1847,1428,205090,71245,1655179
2021-02-26,56,28225595,72807735,11945,51112,865699,10466,44791,3466,4247,500349,865699,350920316,2141,1933,276829,74857,1803309
2021-02-25,56,28150738,72530906,11813,52669,863766,10846,44636,3567,4233,498208,863766,349117007,3138,1982,272209,75565,1826144
2021-02-24,56,28075173,72258697,12548,54118,861784,11026,44534,3685,4227,495070,861784,347290863,2447,2172,245318,73258,1450666
2021-02-23,56,28001915,72013379,11200,55058,859612,11272,44420,3755,4214,492623,859612,345840197,2241,2164,225267,69105,1193835
2021-02-22,56,27932810,71788112,9499,55403,857448,11536,44266,3804,4200,490382,857448,344646362,1235,1305,123611,52530,1201247
2021-02-21,56,27880280,71664501,9442,56159,856143,11862,44216,3915,4197,489147,856143,343445115,1287,997,156778,58702,1232995
2021-02-20,56,27821578,71507723,9408,58222,855146,12120,44166,3932,4197,487860,855146,342212120,2160,1732,141790,72354,1290481
2021-02-19,56,27749224,71365933,8711,59882,853414,12491,44085,4118,4187,485700,853414,340921639,2477,2674,224755,74676,1878033
2021-02-18,56,27674548,71141178,8679,62300,850740,13045,43964,4180,4178,483223,850740,339043606,2616,2497,218491,66824,1345849
2021-02-17,56,27607724,70922687,8548,63405,848243,13103,43823,4271,4154,480607,848243,337697757,2348,2857,233666,66839,1298421
2021-02-16,56,27540885,70689021,11547,64533,845386,13616,43673,4406,4149,478259,845386,336399336,1353,2094,101102,56312,1053698
2021-02-15,56,27484573,70587919,11494,65455,843292,13799,43553,4454,4143,476906,843292,335345638,1078,1130,143388,55077,1123560
2021-02-14,56,27429496,70444531,11515,67023,842162,14047,43516,4538,4141,475828,842162,334222078,1366,1236,171877,72164,1439631
2021-02-13,56,27357332,70272654,11529,69283,840926,14396,43463,4648,4140,474462,840926,332782447,3467,1805,234293,90642,1757608
2021-02-12,56,27266690,70038361,9434,71497,839121,14775,43389,4849,4126,470995,839121,331024839,5427,2347,255983,101030,1812454
2021-02-11,56,27165660,69782378,11981,74225,836774,15190,43291,4970,4113,465568,836774,329212385,3873,2460,260124,102417,1855929
2021-02-10,56,27063243,69522254,12079,76979,834314,15788,43184,5121,4106,461695,834314,327356456,3445,3226,155861,95194,1382709
