date,state,positive,negative,totalTestResultsSource,totalTestResults,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,recovered,death,hospitalized,totalTestsViral,deathConfirmed,deathProbable,totalTestsAntibody,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
1970-01-01 00:00:00.020210307,AK,56886,0,totalTestsViral,1731628,33,0,2,0,305,1293,1731628,0,0,0,0,0,56886,0,56886,0,0
1970-01-01 00:00:00.020210307,AL,499819,1931711,totalTestsPeopleViral,2323788,494,0,0,295690,10148,45976,0,7963,2185,0,408,2087,2431530,2347,2431530,-1,0
1970-01-01 00:00:00.020210307,AR,324818,2480716,totalTestsViral,2736442,335,141,65,315517,5319,14926,2736442,4308,1011,0,165,3267,2805534,3380,2805534,22,11
1970-01-01 00:00:00.020210307,AS,0,2140,totalTestsViral,2140,0,0,0,0,0,0,2140,0,0,0,0,0,2140,0,2140,0,0
1970-01-01 00:00:00.020210307,AZ,826454,3073010,totalTestsViral,7908105,963,273,143,0,16328,57907,7908105,14403,1925,580569,1335,13678,3899464,45110,3899464,5,44
1970-01-01 00:00:00.020210307,CA,3501394,0,totalTestsViral,49646014,4291,1159,0,0,54124,0,49646014,0,0,0,3816,0,3501394,133186,3501394,258,0
1970-01-01 00:00:00.020210307,CO,436602,2199458,totalTestEncountersViral,6415123,326,0,0,0,5989,23904,0,5251,735,435053,840,0,2636060,38163,2636060,3,18
1970-01-01 00:00:00.020210307,CT,285330,0,totalTestsViral,6520366,428,0,0,0,7704,12257,6520366,6327,1377,0,0,0,285330,0,285330,0,0
1970-01-01 00:00:00.020210307,DC,41419,0,totalTestEncountersViral,1261363,150,38,16,29570,1030,0,0,0,0,0,146,0,41419,5726,41419,0,0
1970-01-01 00:00:00.020210307,DE,88354,545070,totalTestEncountersViral,1431942,104,13,0,0,1473,0,0,1337,136,0,215,917,633424,5867,633424,9,0
