iso_code,median_age,aged_65_older,aged_70_older,life_expectancy
AFG,18.6,2.581,1.337,64.83
OWID_AFR,0,0,0,0
ALB,38,13.188,8.643,78.57
DZA,29.1,6.211,3.857,76.88
AND,0,0,0,83.73
AGO,16.8,2.405,1.362,61.15
AIA,0,0,0,81.88
ATG,32.1,6.933,4.631,77.02
ARG,31.9,11.198,7.441,76.67
ARM,35.7,11.232,7.571,75.09
ABW,41.2,13.085,7.452,76.29
OWID_ASI,0,0,0,0
AUS,37.9,15.504,10.129,83.44
AUT,44.4,19.202,13.748,81.54
AZE,32.4,6.018,3.871,73
BHS,34.3,8.996,5.2,73.92
BHR,32.4,2.372,1.387,77.29
BGD,27.5,5.098,3.262,72.59
BRB,39.8,14.952,9.473,79.19
BLR,40.3,14.799,9.788,74.79
BEL,41.8,18.571,12.849,81.63
BLZ,25,3.853,2.279,74.62
BEN,18.8,3.244,1.942,61.77
BMU,0,0,0,82.59
BTN,28.6,4.885,2.977,71.78
BOL,25.4,6.704,4.393,71.51
BES,0,0,0,77.79
BIH,42.5,16.569,10.711,77.4
BWA,25.8,3.941,2.242,69.59
BRA,33.5,8.552,5.06,75.88
VGB,0,0,0,79.07
BRN,32.4,4.591,2.382,75.86
BGR,44.7,20.801,13.272,75.05
BFA,17.6,2.409,1.358,61.58
BDI,17.5,2.562,1.504,61.58
KHM,25.6,4.412,2.385,69.82
CMR,18.8,3.165,1.919,59.29
CAN,41.4,16.984,10.797,82.43
CPV,25.7,4.46,3.437,72.98
CYM,0,0,0,83.92
CAF,18.3,3.655,2.251,53.28
TCD,16.7,2.486,1.446,54.24
CHL,35.4,11.087,6.938,80.18
CHN,38.7,10.641,5.929,76.91
COL,32.2,7.646,4.312,77.29
COM,20.4,2.963,1.726,64.32
COG,19,3.402,2.063,64.57
COK,0,0,0,76.25
CRI,33.6,9.468,5.694,80.28
CIV,18.7,2.933,1.582,57.78
HRV,44,19.724,13.053,78.49
CUB,43.1,14.738,9.719,78.8
CUW,41.7,16.367,10.068,78.88
CYP,37.3,13.416,8.563,80.98
CZE,43.3,19.027,11.58,79.38
COD,17,3.02,1.745,60.68
DNK,42.3,19.677,12.325,80.9
DJI,25.4,4.213,2.38,67.11
DMA,0,0,0,75
DOM,27.6,6.981,4.419,74.08
ECU,28.1,7.104,4.458,77.01
EGY,25.3,5.159,2.891,71.99
SLV,27.6,8.273,5.417,73.32
GNQ,22.4,2.846,1.752,58.74
ERI,19.3,3.607,2.171,66.32
EST,42.7,19.452,13.491,78.74
SWZ,21.5,3.163,1.845,60.19
ETH,19.8,3.526,2.063,66.6
OWID_EUR,0,0,0,0
OWID_EUN,0,0,0,0
FRO,0,0,0,80.67
FLK,0,0,0,81.44
FJI,28.6,6.224,3.284,67.44
FIN,42.8,21.228,13.264,81.91
FRA,42,19.718,13.079,82.66
PYF,32.7,7.775,4.593,77.66
GAB,23.1,4.45,2.976,66.47
GMB,17.5,2.339,1.417,62.05
GEO,38.7,14.864,10.244,73.77
DEU,46.6,21.453,15.957,81.33
GHA,21.1,3.385,1.948,64.07
GIB,0,0,0,79.93
GRC,45.3,20.396,14.524,82.24
GRL,0,0,0,71.7
GRD,29.4,7.304,5.021,72.4
GTM,22.9,4.694,3.016,74.3
GGY,0,0,0,0
GIN,19,3.135,1.733,61.6
GNB,19.4,3.002,1.565,58.32
GUY,26.3,5.305,2.837,69.91
HTI,24.3,4.8,2.954,64
OWID_HIC,0,0,0,0
HND,24.9,4.652,2.883,75.27
HKG,44.8,16.303,10.158,84.86
HUN,43.4,18.577,11.976,76.88
ISL,37.3,14.431,9.207,82.99
IND,28.2,5.989,3.414,69.66
IDN,29.3,5.319,3.053,71.72
OWID_INT,0,0,0,0
IRN,32.4,5.44,3.182,76.68
IRQ,20,3.186,1.957,70.6
IRL,38.7,13.928,8.678,82.3
IMN,0,0,0,81.4
ISR,30.6,11.733,7.359,82.97
ITA,47.9,23.021,16.24,83.51
JAM,31.4,9.684,6.39,74.47
JPN,48.2,27.049,18.493,84.63
JEY,0,0,0,0
JOR,23.2,3.81,2.361,74.53
KAZ,30.6,6.991,4.625,73.6
KEN,20,2.686,1.528,66.7
KIR,23.2,3.895,2.21,68.37
OWID_KOS,0,0,0,0
KWT,33.7,2.345,1.114,75.49
KGZ,26.3,4.489,2.882,71.45
LAO,24.4,4.029,2.322,67.92
LVA,43.9,19.754,14.136,75.29
LBN,31.1,8.514,5.43,78.93
LSO,22.2,4.506,2.647,54.33
LBR,19.2,3.057,1.756,64.1
LBY,29,4.424,2.816,72.91
LIE,0,0,0,82.49
LTU,43.5,19.002,13.778,75.93
OWID_LIC,0,0,0,0
OWID_LMC,0,0,0,0
LUX,39.7,14.312,9.842,82.25
MAC,39.2,9.798,4.991,84.24
MDG,19.6,2.929,1.686,67.04
MWI,18.1,2.979,1.783,64.26
MYS,29.9,6.293,3.407,76.16
MDV,30.6,4.12,2.875,78.92
MLI,16.4,2.519,1.486,59.31
MLT,42.4,19.426,11.324,82.53
MHL,0,0,0,73.7
MRT,20.3,3.138,1.792,64.92
MUS,37.4,10.945,5.884,74.99
MEX,29.3,6.857,4.321,75.05
FSM,23,4.81,2.392,67.88
MDA,37.6,10.864,6.955,71.9
MCO,0,0,0,86.75
MNG,28.6,4.031,2.421,69.87
MNE,39.1,14.762,9.395,76.88
MSR,0,0,0,74.16
MAR,29.6,6.769,4.209,76.68
MOZ,17.7,3.158,1.87,60.85
MMR,29.1,5.732,3.12,67.13
NAM,22,3.552,2.085,63.71
NRU,0,0,0,59.96
NPL,25,5.809,3.212,70.78
NLD,43.2,18.779,11.881,82.28
NCL,33.4,9.954,6.489,77.55
NZL,37.9,15.322,9.72,82.29
NIC,27.3,5.445,3.519,74.48
NER,15.1,2.553,1.378,62.42
NGA,18.1,2.751,1.447,54.69
NIU,0,0,0,73.71
OWID_NAM,0,0,0,0
MKD,39.1,13.26,8.16,75.8
OWID_CYN,0,0,0,0
NOR,39.7,16.821,10.813,82.4
OWID_OCE,0,0,0,0
OMN,30.7,2.355,1.53,77.86
PAK,23.5,4.495,2.78,67.27
PLW,0,0,0,73.7
PSE,20.4,3.043,1.726,74.05
PAN,29.7,7.918,5.03,78.51
PNG,22.6,3.808,2.142,64.5
PRY,26.5,6.378,3.833,74.25
PER,29.1,7.151,4.455,76.74
PHL,25.2,4.803,2.661,71.23
PCN,0,0,0,0
POL,41.8,16.763,10.202,78.73
PRT,46.2,21.502,14.924,82.05
QAT,31.9,1.307,0.617,80.23
ROU,43,17.85,11.69,76.05
RUS,39.6,14.178,9.393,72.58
RWA,20.3,2.974,1.642,69.02
SHN,0,0,0,80.56
KNA,0,0,0,76.23
LCA,34.9,9.721,6.405,76.2
VCT,31.8,7.724,4.832,72.53
WSM,22,5.606,3.564,73.32
SMR,0,0,0,84.97
STP,18.7,2.886,2.162,70.39
SAU,31.9,3.295,1.845,75.13
SEN,18.7,3.008,1.796,67.94
SRB,41.2,17.366,0,76
SYC,36.2,8.606,5.586,73.4
SLE,19.1,2.538,1.285,54.7
SGP,42.4,12.922,7.049,83.62
SXM,0,0,0,78.95
SVK,41.2,15.07,9.167,77.54
SVN,44.5,19.062,12.93,81.32
SLB,20.8,3.507,2.043,73
SOM,16.8,2.731,1.496,57.4
ZAF,27.3,5.344,3.053,64.13
OWID_SAM,0,0,0,0
KOR,43.4,13.914,8.622,83.03
SSD,19.2,3.441,2.032,57.85
ESP,45.5,19.436,13.799,83.56
LKA,34.1,10.069,5.331,76.98
SDN,19.7,3.548,2.034,65.31
SUR,29.6,6.933,4.229,71.68
SWE,41,19.985,13.433,82.8
CHE,43.1,18.436,12.644,83.78
SYR,21.7,0,2.577,72.7
TWN,42.2,0,8.353,80.46
TJK,23.3,3.466,2.155,71.1
TZA,17.7,3.108,1.874,65.46
THA,40.1,11.373,6.89,77.15
TLS,18,3.556,1.897,69.5
TGO,19.4,2.839,1.525,61.04
TKL,0,0,0,81.86
TON,22.3,5.82,4.032,70.91
TTO,36.2,10.014,5.819,73.51
TUN,32.7,8.001,5.075,76.7
TUR,31.6,8.153,5.061,77.69
TKM,26.9,4.277,2.541,68.19
TCA,0,0,0,80.22
TUV,0,0,0,67.57
UGA,16.4,2.168,1.308,63.37
UKR,41.4,16.462,11.133,72.06
ARE,34,1.144,0.526,77.97
GBR,40.8,18.517,12.527,81.32
USA,38.3,15.413,9.732,78.86
OWID_UMC,0,0,0,0
URY,35.6,14.655,10.361,77.91
UZB,28.2,4.469,2.873,71.72
VUT,23.1,4.394,2.62,70.47
VAT,0,0,0,75.12
VEN,29,6.614,3.915,72.06
VNM,32.6,7.15,4.718,75.4
WLF,0,0,0,79.94
OWID_WRL,30.9,8.696,5.355,72.58
YEM,20.3,2.922,1.583,66.12
ZMB,17.7,2.48,1.542,63.89
ZWE,19.6,2.822,1.882,61.49
