iso_code,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
AFG,597.029,9.59,0.0,0.0,37.746,0.5
OWID_AFR,0.0,0.0,0.0,0.0,0.0,0.0
ALB,304.195,10.08,7.1,51.2,0.0,2.89
DZA,278.364,6.73,0.7,30.4,83.741,1.9
AND,109.135,7.97,29.0,37.8,0.0,0.0
AGO,276.045,3.94,0.0,0.0,26.664,0.0
AIA,0.0,0.0,0.0,0.0,0.0,0.0
ATG,191.511,13.17,0.0,0.0,0.0,3.8
ARG,191.032,5.5,16.2,27.7,0.0,5.0
ARM,341.01,7.11,1.5,52.1,94.043,4.2
ABW,0.0,11.62,0.0,0.0,0.0,0.0
OWID_ASI,0.0,0.0,0.0,0.0,0.0,0.0
AUS,107.791,5.07,13.0,16.5,0.0,3.84
AUT,145.183,6.35,28.4,30.9,0.0,7.37
AZE,559.812,7.11,0.3,42.5,83.241,4.7
BHS,235.954,13.17,3.1,20.4,0.0,2.9
BHR,151.689,16.52,5.8,37.6,0.0,2.0
BGD,298.003,8.38,1.0,44.7,34.808,0.8
BRB,170.05,13.57,1.9,14.5,88.469,5.8
BLR,443.129,5.18,10.5,46.1,0.0,11.0
BEL,114.898,4.29,25.1,31.4,0.0,5.64
BLZ,176.957,17.11,0.0,0.0,90.083,1.3
BEN,235.848,0.99,0.6,12.3,11.035,0.5
BMU,139.547,13.0,0.0,0.0,0.0,0.0
BTN,217.066,9.75,0.0,0.0,79.807,1.7
BOL,204.299,6.89,0.0,0.0,25.383,1.1
BES,0.0,0.0,0.0,0.0,0.0,0.0
BIH,329.635,10.08,30.2,47.7,97.164,3.5
BWA,237.372,4.81,5.7,34.4,0.0,1.8
BRA,177.961,8.11,10.1,17.9,0.0,2.2
VGB,0.0,13.67,0.0,0.0,0.0,0.0
BRN,201.285,12.79,2.0,30.9,0.0,2.7
BGR,424.688,5.81,30.1,44.4,0.0,7.454
BFA,269.048,2.42,1.6,23.9,11.877,0.4
BDI,293.068,6.05,0.0,0.0,6.144,0.8
KHM,270.892,4.0,2.0,33.7,66.229,0.8
CMR,244.661,7.2,0.0,0.0,2.735,1.3
CAN,105.599,7.37,12.0,16.6,0.0,2.5
CPV,182.219,2.42,2.1,16.5,0.0,2.1
CYM,0.0,13.22,0.0,0.0,0.0,0.0
CAF,435.727,6.1,0.0,0.0,16.603,1.0
TCD,280.995,6.1,0.0,0.0,5.818,0.0
CHL,127.993,8.46,34.2,41.5,0.0,2.11
CHN,261.899,9.74,1.9,48.4,0.0,4.34
COL,124.24,7.44,4.7,13.5,65.386,1.71
COM,261.516,11.88,4.4,23.6,15.574,2.2
COG,344.094,7.2,1.7,52.3,47.964,0.0
COK,0.0,0.0,0.0,0.0,0.0,0.0
CRI,137.973,8.78,6.4,17.4,83.841,1.13
CIV,303.74,2.42,0.0,0.0,19.351,0.0
HRV,253.782,5.59,34.3,39.9,0.0,5.54
CUB,190.968,8.27,17.1,53.3,85.198,5.2
CUW,0.0,11.62,0.0,0.0,0.0,0.0
CYP,141.171,9.24,19.6,52.7,0.0,3.4
CZE,227.485,6.82,30.5,38.3,0.0,6.63
COD,318.949,6.1,0.0,0.0,4.472,0.0
DNK,114.767,6.41,19.3,18.8,0.0,2.5
DJI,258.037,6.05,1.7,24.5,0.0,1.4
DMA,227.376,11.62,0.0,0.0,0.0,3.8
DOM,266.653,8.2,8.5,19.1,55.182,1.6
ECU,140.448,5.55,2.0,12.3,80.635,1.5
EGY,525.432,17.31,0.2,50.1,89.827,1.6
SLV,167.295,8.87,2.5,18.8,90.65,1.3
GNQ,202.812,7.78,0.0,0.0,24.64,2.1
ERI,311.11,6.05,0.2,11.4,0.0,0.7
EST,255.569,4.02,24.5,39.3,0.0,4.69
SWZ,333.436,3.94,1.7,16.5,24.097,2.1
ETH,182.634,7.47,0.4,8.5,7.96,0.3
OWID_EUR,0.0,0.0,0.0,0.0,0.0,0.0
OWID_EUN,0.0,0.0,0.0,0.0,0.0,0.0
FRO,0.0,0.0,0.0,0.0,0.0,0.0
FLK,0.0,0.0,0.0,0.0,0.0,0.0
FJI,412.82,14.49,10.2,34.8,0.0,2.3
FIN,153.507,5.76,18.3,22.6,0.0,3.28
FRA,86.06,4.77,30.1,35.6,0.0,5.98
PYF,0.0,22.63,0.0,0.0,0.0,0.0
GAB,259.967,7.2,0.0,0.0,0.0,6.3
GMB,331.43,1.91,0.7,31.2,7.876,1.1
GEO,496.218,7.11,5.3,55.5,0.0,2.6
DEU,156.139,8.31,28.2,33.1,0.0,8.0
GHA,298.245,4.97,0.3,7.7,41.047,0.9
GIB,0.0,0.0,0.0,0.0,0.0,0.0
GRC,175.695,4.55,35.3,52.0,0.0,4.21
GRL,199.941,2.16,0.0,0.0,0.0,0.0
GRD,243.964,10.71,0.0,0.0,0.0,3.7
GTM,155.898,10.18,0.0,0.0,76.665,0.6
GGY,0.0,0.0,0.0,0.0,0.0,0.0
GIN,336.717,2.42,0.0,0.0,17.45,0.3
GNB,382.474,2.42,0.0,0.0,6.403,0.0
GUY,373.159,11.62,0.0,0.0,77.159,1.6
HTI,430.548,6.65,2.9,23.1,22.863,0.7
OWID_HIC,0.0,0.0,0.0,0.0,0.0,0.0
HND,240.208,7.21,2.0,0.0,84.169,0.7
HKG,0.0,8.33,0.0,0.0,0.0,0.0
HUN,278.296,7.55,26.8,34.8,0.0,7.02
ISL,117.992,5.31,14.3,15.2,0.0,2.91
IND,282.28,10.39,1.9,20.6,59.55,0.53
IDN,342.864,6.32,2.8,76.1,64.204,1.04
OWID_INT,0.0,0.0,0.0,0.0,0.0,0.0
IRN,270.308,9.59,0.8,21.1,0.0,1.5
IRQ,218.612,8.83,0.0,0.0,94.576,1.4
IRL,126.459,3.28,23.0,25.7,0.0,2.96
IMN,0.0,0.0,0.0,0.0,0.0,0.0
ISR,93.32,6.74,15.4,35.4,0.0,2.99
ITA,113.151,4.78,19.8,27.8,0.0,3.18
JAM,206.537,11.28,5.3,28.6,66.425,1.7
JPN,79.37,5.72,11.2,33.7,0.0,13.05
JEY,0.0,0.0,0.0,0.0,0.0,0.0
JOR,208.257,11.75,0.0,0.0,0.0,1.4
KAZ,466.792,7.11,7.0,43.1,98.999,6.7
KEN,218.637,2.92,1.2,20.4,24.651,1.4
KIR,434.657,22.66,35.9,58.9,0.0,1.9
OWID_KOS,0.0,0.0,0.0,0.0,0.0,0.0
KWT,132.235,15.84,2.7,37.0,0.0,2.0
KGZ,436.362,7.11,3.6,50.5,89.22,4.5
LAO,368.111,4.0,7.3,51.2,49.839,1.5
LVA,350.06,4.91,25.6,51.0,0.0,5.57
LBN,266.591,12.71,26.9,40.7,0.0,2.9
LSO,405.126,3.94,0.4,53.9,2.117,0.0
LBR,272.509,2.42,1.5,18.1,1.188,0.8
LBY,341.862,10.43,0.0,0.0,0.0,3.7
LIE,0.0,7.77,0.0,0.0,0.0,2.397
LTU,342.989,3.67,21.3,38.0,0.0,6.56
OWID_LIC,0.0,0.0,0.0,0.0,0.0,0.0
OWID_LMC,0.0,0.0,0.0,0.0,0.0,0.0
LUX,128.275,4.42,20.9,26.0,0.0,4.51
MAC,0.0,0.0,0.0,0.0,0.0,0.0
MDG,405.994,3.94,0.0,0.0,50.54,0.2
MWI,227.349,3.94,4.4,24.7,8.704,1.3
MYS,260.942,16.74,1.0,42.4,0.0,1.9
MDV,164.905,9.19,2.1,55.0,95.803,0.0
MLI,268.024,2.42,1.6,23.0,52.232,0.1
MLT,168.711,8.83,20.9,30.2,0.0,4.485
MHL,557.793,30.53,0.0,0.0,82.502,2.7
MRT,232.347,2.42,0.0,0.0,15.95,0.0
MUS,224.644,22.02,3.2,40.7,0.0,3.4
MEX,152.783,13.06,6.9,21.4,87.847,1.38
FSM,454.343,12.02,0.0,0.0,0.0,0.0
MDA,408.502,5.72,5.9,44.6,86.979,5.8
MCO,0.0,5.46,0.0,0.0,0.0,13.8
MNG,460.043,4.82,5.5,46.5,71.18,7.0
MNE,387.305,10.08,44.0,47.9,0.0,3.861
MSR,0.0,0.0,0.0,0.0,0.0,0.0
MAR,419.146,7.14,0.8,47.1,0.0,1.1
MOZ,329.942,3.3,5.1,29.1,12.227,0.7
MMR,202.104,4.61,6.3,35.2,79.287,0.9
NAM,243.811,3.94,9.7,34.2,44.6,0.0
NRU,0.0,24.07,43.0,36.9,0.0,5.0
NPL,260.797,7.26,9.5,37.8,47.782,0.3
NLD,109.361,5.29,24.4,27.3,0.0,3.32
NCL,0.0,23.36,0.0,0.0,0.0,0.0
NZL,128.797,8.08,14.8,17.2,0.0,2.61
NIC,137.016,11.47,0.0,0.0,0.0,0.9
NER,238.339,2.42,0.1,15.4,8.978,0.3
NGA,181.013,2.42,0.6,10.8,41.949,0.0
NIU,0.0,0.0,0.0,0.0,0.0,0.0
OWID_NAM,0.0,0.0,0.0,0.0,0.0,0.0
MKD,322.688,10.08,0.0,0.0,0.0,4.28
OWID_CYN,0.0,0.0,0.0,0.0,0.0,0.0
NOR,114.316,5.31,19.6,20.7,0.0,3.6
OWID_OCE,0.0,0.0,0.0,0.0,0.0,0.0
OMN,266.342,12.61,0.5,15.6,97.4,1.6
PAK,423.031,8.35,2.8,36.7,59.607,0.6
PLW,0.0,15.89,7.7,22.7,0.0,4.8
PSE,265.91,10.59,0.0,0.0,0.0,0.0
PAN,128.346,8.33,2.4,9.9,0.0,2.3
PNG,561.494,17.65,23.5,48.8,0.0,0.0
PRY,199.128,8.27,5.0,21.6,79.602,1.3
PER,85.755,5.95,4.8,0.0,0.0,1.6
PHL,370.437,7.07,7.8,40.8,78.463,1.0
PCN,0.0,0.0,0.0,0.0,0.0,0.0
POL,227.331,5.91,23.3,33.1,0.0,6.62
PRT,127.842,9.85,16.3,30.0,0.0,3.39
QAT,176.69,16.52,0.8,26.9,0.0,1.2
ROU,370.946,9.74,22.9,37.1,0.0,6.892
RUS,431.297,6.18,23.4,58.3,0.0,8.05
RWA,191.375,4.28,4.7,21.0,4.617,0.0
SHN,0.0,0.0,0.0,0.0,0.0,0.0
KNA,0.0,12.84,0.0,0.0,0.0,2.3
LCA,204.62,11.62,0.0,0.0,87.202,1.3
VCT,252.675,11.62,0.0,0.0,0.0,2.6
WSM,348.977,9.21,16.7,38.1,0.0,0.0
SMR,0.0,5.64,0.0,0.0,0.0,3.8
STP,270.113,2.42,0.0,0.0,41.34,2.9
SAU,259.538,17.72,1.8,25.4,0.0,2.7
SEN,241.219,2.42,0.4,16.6,20.859,0.0
SRB,439.415,10.08,37.7,40.2,97.719,5.609
SYC,242.648,10.55,7.1,35.7,0.0,3.6
SLE,325.721,2.42,8.8,41.3,19.275,0.0
SGP,92.243,10.99,5.2,28.3,0.0,2.4
SXM,0.0,0.0,0.0,0.0,0.0,0.0
SVK,287.959,7.29,23.1,37.7,0.0,5.82
SVN,153.493,7.25,20.1,25.0,0.0,4.5
SLB,459.78,18.68,0.0,0.0,35.89,1.4
SOM,365.769,6.05,0.0,0.0,9.831,0.9
ZAF,200.38,5.52,8.1,33.2,43.993,2.32
OWID_SAM,0.0,0.0,0.0,0.0,0.0,0.0
KOR,85.998,6.8,6.2,40.9,0.0,12.27
SSD,280.775,10.43,0.0,0.0,0.0,0.0
ESP,99.403,7.17,27.4,31.4,0.0,2.97
LKA,197.093,10.68,0.3,27.0,0.0,3.6
SDN,431.388,15.67,0.0,0.0,23.437,0.8
SUR,258.314,12.54,7.4,42.9,67.779,3.1
SWE,133.982,4.79,18.8,18.9,0.0,2.22
CHE,99.739,5.59,22.6,28.9,0.0,4.53
SYR,376.264,0.0,0.0,0.0,70.598,1.5
TWN,103.957,0.0,0.0,0.0,0.0,0.0
TJK,427.698,7.11,0.0,0.0,72.704,4.8
TZA,217.288,5.75,3.3,26.7,47.953,0.7
THA,109.861,7.04,1.9,38.8,90.67,2.1
TLS,335.346,6.86,6.3,78.1,28.178,5.9
TGO,280.033,6.15,0.9,14.2,10.475,0.7
TKL,0.0,0.0,0.0,0.0,0.0,0.0
TON,227.49,15.42,11.8,44.4,0.0,2.6
TTO,228.467,10.97,0.0,0.0,89.443,3.0
TUN,318.991,8.52,1.1,65.8,78.687,2.3
TUR,171.285,12.13,14.1,41.1,0.0,2.81
TKM,536.783,7.11,0.0,0.0,100.0,7.4
TCA,0.0,0.0,0.0,0.0,0.0,0.0
TUV,0.0,27.25,0.0,0.0,0.0,0.0
UGA,213.333,2.5,3.4,16.7,21.222,0.5
UKR,539.849,7.11,13.5,47.4,0.0,8.8
ARE,317.84,17.26,1.2,37.4,0.0,1.2
GBR,122.137,4.28,20.0,24.7,0.0,2.54
USA,151.089,10.79,19.1,24.6,0.0,2.77
OWID_UMC,0.0,0.0,0.0,0.0,0.0,0.0
URY,160.708,6.93,14.0,19.9,0.0,2.8
UZB,724.417,7.57,1.3,24.7,0.0,4.0
VUT,546.3,12.02,2.8,34.5,25.209,0.0
VAT,0.0,0.0,0.0,0.0,0.0,0.0
VEN,204.85,6.47,0.0,0.0,0.0,0.8
VNM,245.465,6.0,1.0,45.9,85.847,2.6
WLF,0.0,0.0,0.0,0.0,0.0,0.0
OWID_WRL,233.07,8.51,6.434,34.635,60.13,2.705
YEM,495.003,5.35,7.6,29.2,49.542,0.7
ZMB,234.499,3.94,3.1,24.7,13.938,2.0
ZWE,307.846,1.82,1.6,30.7,36.791,1.7
