iso_code,gdp_per_capita,extreme_poverty,human_development_index
AFG,1803.987,0.0,0.511
OWID_AFR,0.0,0.0,0.0
ALB,11803.431,1.1,0.795
DZA,13913.839,0.5,0.748
AND,0.0,0.0,0.868
AGO,5819.495,0.0,0.581
AIA,0.0,0.0,0.0
ATG,21490.943,0.0,0.778
ARG,18933.907,0.6,0.845
ARM,8787.58,1.8,0.776
ABW,35973.781,0.0,0.0
OWID_ASI,0.0,0.0,0.0
AUS,44648.71,0.5,0.944
AUT,45436.686,0.7,0.922
AZE,15847.419,0.0,0.756
BHS,27717.847,0.0,0.814
BHR,43290.705,0.0,0.852
BGD,3523.984,14.8,0.632
BRB,16978.068,0.0,0.814
BLR,17167.967,0.0,0.823
BEL,42658.576,0.2,0.931
BLZ,7824.362,0.0,0.716
BEN,2064.236,49.6,0.545
BMU,50669.315,0.0,0.0
BTN,8708.597,1.5,0.654
BOL,6885.829,7.1,0.718
BES,0.0,0.0,0.0
BIH,11713.895,0.2,0.78
BWA,15807.374,0.0,0.735
BRA,14103.452,3.4,0.765
VGB,0.0,0.0,0.0
BRN,71809.251,0.0,0.838
BGR,18563.307,1.5,0.816
BFA,1703.102,43.7,0.452
BDI,702.225,71.7,0.433
KHM,3645.07,0.0,0.594
CMR,3364.926,23.8,0.563
CAN,44017.591,0.5,0.929
CPV,6222.554,0.0,0.665
CYM,49903.029,0.0,0.0
CAF,661.24,0.0,0.397
TCD,1768.153,38.4,0.398
CHL,22767.037,1.3,0.851
CHN,15308.712,0.7,0.761
COL,13254.949,4.5,0.767
COM,1413.89,18.1,0.554
COG,4881.406,37.0,0.574
COK,0.0,0.0,0.0
CRI,15524.995,1.3,0.81
CIV,3601.006,28.2,0.538
HRV,22669.797,0.7,0.851
CUB,0.0,0.0,0.783
CUW,0.0,0.0,0.0
CYP,32415.132,0.0,0.887
CZE,32605.906,0.0,0.9
COD,808.133,77.1,0.48
DNK,46682.515,0.2,0.94
DJI,2705.406,22.5,0.524
DMA,9673.367,0.0,0.742
DOM,14600.861,1.6,0.756
ECU,10581.936,3.6,0.759
EGY,10550.206,1.3,0.707
SLV,7292.458,2.2,0.673
GNQ,22604.873,0.0,0.592
ERI,1510.459,0.0,0.459
EST,29481.252,0.5,0.892
SWZ,7738.975,0.0,0.611
ETH,1729.927,26.7,0.485
OWID_EUR,0.0,0.0,0.0
OWID_EUN,0.0,0.0,0.0
FRO,0.0,0.0,0.0
FLK,0.0,0.0,0.0
FJI,8702.975,1.4,0.743
FIN,40585.721,0.0,0.938
FRA,38605.671,0.0,0.901
PYF,0.0,0.0,0.0
GAB,16562.413,3.4,0.703
GMB,1561.767,10.1,0.496
GEO,9745.079,4.2,0.812
DEU,45229.245,0.0,0.947
GHA,4227.63,12.0,0.611
GIB,0.0,0.0,0.0
GRC,24574.382,1.5,0.888
GRL,0.0,0.0,0.0
GRD,13593.877,0.0,0.779
GTM,7423.808,8.7,0.663
GGY,0.0,0.0,0.0
GIN,1998.926,35.3,0.477
GNB,1548.675,67.1,0.48
GUY,7435.047,0.0,0.682
